id,t,X0,cluster,TRAIN,VALIDATE,TEST
0,0.0,0.2869167625904083,0,0,0,1
0,0.009999999776482582,0.2951698303222656,0,0,0,1
0,0.019999999552965164,0.30355924367904663,0,0,0,1
0,0.029999999329447746,0.312081515789032,0,0,0,1
0,0.03999999910593033,0.32073283195495605,0,0,0,1
0,0.04999999701976776,0.32950910925865173,0,0,0,1
0,0.05999999865889549,0.33840590715408325,0,0,0,1
0,0.07000000029802322,0.34741848707199097,0,0,0,1
0,0.07999999821186066,0.3565416932106018,0,0,0,1
0,0.08999999612569809,0.36577022075653076,0,0,0,1
0,0.09999999403953552,0.3750983774662018,0,0,0,1
0,0.10999999940395355,0.38452017307281494,0,0,0,1
0,0.11999999731779099,0.3940294086933136,0,0,0,1
0,0.12999999523162842,0.40361955761909485,0,0,0,1
0,0.14000000059604645,0.4132840037345886,0,0,0,1
0,0.14999999105930328,0.42301568388938904,0,0,0,1
0,0.1599999964237213,0.43280747532844543,0,0,0,1
0,0.17000000178813934,0.44265204668045044,0,0,0,1
0,0.17999999225139618,0.45254185795783997,0,0,0,1
0,0.1899999976158142,0.46246927976608276,0,0,0,1
0,0.19999998807907104,0.47242653369903564,0,0,0,1
0,0.20999999344348907,0.48240581154823303,0,0,0,1
0,0.2199999988079071,0.4923991560935974,0,0,0,1
0,0.22999998927116394,0.5023985505104065,0,0,0,1
0,0.23999999463558197,0.5123960375785828,0,0,0,1
0,0.25,0.5223836302757263,0,0,0,1
0,0.25999999046325684,0.5323533415794373,0,0,0,1
0,0.26999998092651367,0.5422972440719604,0,0,0,1
0,0.2800000011920929,0.5522075891494751,0,0,0,1
0,0.28999999165534973,0.5620766282081604,0,0,0,1
0,0.29999998211860657,0.5718967914581299,0,0,0,1
0,0.3100000023841858,0.5816606879234314,0,0,0,1
0,0.3199999928474426,0.5913609862327576,0,0,0,1
0,0.32999998331069946,0.6009905934333801,0,0,0,1
0,0.3400000035762787,0.6105427145957947,0,0,0,1
0,0.3499999940395355,0.6200107932090759,0,0,0,1
0,0.35999998450279236,0.6293884515762329,0,0,0,1
0,0.3700000047683716,0.6386695504188538,0,0,0,1
0,0.3799999952316284,0.6478482484817505,0,0,0,1
0,0.38999998569488525,0.656919002532959,0,0,0,1
0,0.3999999761581421,0.6658766865730286,0,0,0,1
0,0.4099999964237213,0.6747162342071533,0,0,0,1
0,0.41999998688697815,0.6834331154823303,0,0,0,1
0,0.429999977350235,0.6920230984687805,0,0,0,1
0,0.4399999976158142,0.7004820704460144,0,0,0,1
0,0.44999998807907104,0.708806574344635,0,0,0,1
0,0.4599999785423279,0.7169930934906006,0,0,0,1
0,0.4699999988079071,0.7250386476516724,0,0,0,1
0,0.47999998927116394,0.7329407334327698,0,0,0,1
0,0.4899999797344208,0.7406969666481018,0,0,0,1
0,0.5,0.7483053207397461,0,0,0,1
0,0.5099999904632568,0.7557639479637146,0,0,0,1
0,0.5199999809265137,0.7630716562271118,0,0,0,1
0,0.5299999713897705,0.7702271342277527,0,0,0,1
0,0.5399999618530273,0.7772295475006104,0,0,0,1
0,0.550000011920929,0.7840784192085266,0,0,0,1
0,0.5600000023841858,0.7907733917236328,0,0,0,1
0,0.5699999928474426,0.797314465045929,0,0,0,1
0,0.5799999833106995,0.8037017583847046,0,0,0,1
0,0.5899999737739563,0.8099358081817627,0,0,0,1
0,0.5999999642372131,0.816017210483551,0,0,0,1
0,0.6100000143051147,0.8219467997550964,0,0,0,1
0,0.6200000047683716,0.8277255892753601,0,0,0,1
0,0.6299999952316284,0.8333549499511719,0,0,0,1
0,0.6399999856948853,0.8388361930847168,0,0,0,1
0,0.6499999761581421,0.844170868396759,0,0,0,1
0,0.6599999666213989,0.8493605852127075,0,0,0,1
0,0.6699999570846558,0.8544072508811951,0,0,0,1
0,0.6800000071525574,0.8593128323554993,0,0,0,1
0,0.6899999976158142,0.864079475402832,0,0,0,1
0,0.699999988079071,0.8687092661857605,0,0,0,1
0,0.7099999785423279,0.8732045292854309,0,0,0,1
